"Date","Price","Open","High","Low","Vol.","Change %"
"12/21/2025","2,081.40","2,050.11","2,081.40","2,044.79","","1.58%"
"12/14/2025","2,048.99","2,108.01","2,109.65","2,047.34","","-2.83%"
"12/07/2025","2,108.70","2,103.44","2,123.58","2,096.96","","-0.19%"
"11/30/2025","2,112.70","2,073.19","2,120.00","2,052.47","","1.90%"
"11/23/2025","2,073.28","2,038.81","2,073.28","1,999.67","","1.93%"
"11/16/2025","2,033.99","2,069.15","2,083.23","2,022.07","","-1.80%"
"11/09/2025","2,071.23","2,081.60","2,093.01","2,049.47","","-0.05%"
"11/02/2025","2,072.28","1,987.52","2,074.20","1,974.30","","4.29%"
"10/26/2025","1,987.12","1,945.48","1,996.45","1,944.32","","2.12%"
"10/19/2025","1,945.79","1,917.17","1,948.44","1,885.19","","1.12%"
"10/12/2025","1,924.26","1,878.11","1,924.26","1,878.11","","2.91%"
"10/05/2025","1,869.78","1,859.52","1,889.37","1,851.14","","0.46%"
"09/28/2025","1,861.27","1,861.32","1,876.09","1,845.73","","-0.12%"
"09/21/2025","1,863.45","1,859.06","1,885.08","1,850.51","","0.29%"
"09/14/2025","1,858.13","1,846.57","1,861.90","1,823.31","","0.68%"
"09/07/2025","1,845.61","1,863.14","1,876.44","1,844.52","","-0.93%"
"08/31/2025","1,862.87","1,845.60","1,865.68","1,824.07","","0.94%"
"08/24/2025","1,845.60","1,858.62","1,858.62","1,834.43","","-0.69%"
"08/17/2025","1,858.45","1,857.78","1,865.70","1,827.03","","0.09%"
"08/10/2025","1,856.83","1,802.79","1,856.83","1,798.54","","3.00%"
"08/03/2025","1,802.78","1,751.50","1,802.78","1,747.58","","2.92%"
"07/27/2025","1,751.56","1,711.21","1,774.44","1,710.06","","2.48%"
"07/20/2025","1,709.23","1,735.35","1,745.83","1,706.48","","-1.40%"
"07/13/2025","1,733.54","1,687.58","1,752.14","1,681.41","","2.67%"
"07/06/2025","1,688.47","1,687.93","1,693.36","1,671.84","","0.09%"
"06/29/2025","1,686.87","1,671.14","1,695.03","1,671.14","","1.11%"
"06/22/2025","1,668.33","1,638.74","1,678.59","1,638.32","","1.25%"
"06/15/2025","1,647.78","1,649.41","1,655.72","1,631.46","","-0.07%"
"06/08/2025","1,648.92","1,649.28","1,661.31","1,634.95","","-0.14%"
"06/01/2025","1,651.21","1,622.33","1,660.24","1,621.87","","2.63%"
"05/25/2025","1,608.90","1,656.28","1,656.28","1,608.90","","-2.77%"
"05/18/2025","1,654.73","1,646.08","1,669.14","1,632.20","","0.47%"
"05/11/2025","1,646.92","1,652.18","1,702.40","1,639.78","","0.09%"
"05/04/2025","1,645.40","1,639.45","1,662.86","1,630.83","","0.21%"
"04/27/2025","1,641.99","1,640.00","1,643.61","1,611.56","","0.02%"
"04/20/2025","1,641.69","1,628.15","1,644.71","1,607.37","","0.92%"
"04/13/2025","1,626.73","1,568.06","1,626.73","1,568.06","","4.18%"
"04/06/2025","1,561.52","1,612.14","1,626.46","1,536.25","","-3.64%"
"03/30/2025","1,620.49","1,598.16","1,658.82","1,576.42","","1.05%"
"03/23/2025","1,603.63","1,610.60","1,634.99","1,590.53","","-0.32%"
"03/16/2025","1,608.85","1,621.17","1,636.56","1,595.64","","-0.71%"
"03/09/2025","1,620.36","1,609.62","1,620.73","1,569.06","","0.61%"
"03/02/2025","1,610.50","1,608.84","1,618.41","1,543.92","","0.18%"
"02/23/2025","1,607.57","1,633.86","1,655.45","1,607.57","","-1.41%"
"02/16/2025","1,630.62","1,553.40","1,639.83","1,549.36","","5.06%"
"02/09/2025","1,552.12","1,516.71","1,552.12","1,516.12","","2.38%"
"02/02/2025","1,515.99","1,520.96","1,525.65","1,497.14","","-0.38%"
"01/26/2025","1,521.74","1,404.92","1,545.97","1,400.96","","7.51%"
"01/19/2025","1,415.45","1,391.24","1,415.45","1,379.26","","1.74%"
"01/12/2025","1,391.22","1,400.32","1,408.68","1,383.29","","-0.98%"
